mode,design_note,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.5,1.5,1.5,1.5,7.46,0.001819233586452524,0.0022392910742007805,0.0005940509961499546
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.5,1.5,2.0,2.0,7.48,0.0019485945856350484,0.0024205855425758678,0.0006674960126231622
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,2.0,2.0,0.5,0.5,7.42,0.0017546259028521113,0.002205448740419715,0.0006375597711156283
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,2.0,2.0,1.0,1.0,7.44,0.0017474679963726072,0.0021726971670457096,0.0006013648602825651
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,2.0,2.0,1.5,1.5,7.46,0.0017866318779120507,0.002225846514230792,0.0006211432954747308
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,2.0,2.0,2.0,2.0,7.48,0.00189533273550054,0.0023852543061155837,0.0006928537296629227
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,0.5,0.5,0.5,0.5,7.42,0.0017626379273294618,0.002146435142963771,0.0005427712275510714
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,0.5,1.0,0.5,1.0,7.42,0.001763151186922705,0.002207647675939797,0.0006286129631951947
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,0.5,1.5,0.5,1.5,7.42,0.0017722018614752012,0.0022770790624336663,0.0007140041849284279
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,0.5,2.0,0.5,2.0,7.4,0.0017714832379370142,0.002109697123791721,0.0004783066643586322
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.0,0.5,1.0,0.5,7.44,0.001789796203157544,0.0021202367531415966,0.00046731350734547197
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.0,1.0,1.0,1.0,7.44,0.0017803831406473928,0.0021636570550467313,0.0005420311678473693
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.0,1.5,1.0,1.5,7.44,0.0017773273953178086,0.0022143480253890486,0.0006180405020835828
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.0,2.0,1.0,2.0,7.44,0.001781430586236217,0.002272349292870109,0.000694263892944309
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.5,0.5,1.5,0.5,7.46,0.001844936543289836,0.002175876778986173,0.0004680201696567086
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.5,1.0,1.5,1.0,7.46,0.001829765583146875,0.0022046432453163953,0.0005301570740708547
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.5,1.5,1.5,1.5,7.46,0.001819233586452524,0.0022392910742007805,0.0005940509961499546
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,1.5,2.0,1.5,2.0,7.46,0.001813971962292086,0.0022800028164417733,0.0006590671544228055
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,2.0,0.5,2.0,0.5,7.48,0.001937924968141506,0.002318883235001222,0.0005387563476911591
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,2.0,1.0,2.0,1.0,7.48,0.0019202833075577716,0.0023365604280769898,0.0005887047495438977
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,2.0,1.5,2.0,1.5,7.48,0.0019059242423457514,0.0023586067956024156,0.0006401898062652556
lt_shared_scale,全局缩放 $\Gamma_L$ 与 $\Gamma_T$，检查 LO/TO 阻尼结构对厚度低谷的影响。,2.0,2.0,2.0,2.0,7.48,0.00189533273550054,0.0023852543061155837,0.0006928537296629227
